cid,poi_name,website,lat,lng,price_range_icons,reviews_no,price_range,tags,hours,photos,phone,reservations,online_visibility,address_text,is_closed,country,traffic,kwrd
0x1459a10022210537:0x63cd3dbc915ff5f1,Sultan Restaurant,,29.540509,30.979346,,1,,['Restaurant'],,Photos,011 22202309,,,"GXRH+7Q7 Sultan Restaurant, Fanous, Tamiya, Faiyum Governorate 2972678",,EG,,restaurants
0x1459a17425175d57:0xfb4eac35f1f2d9d0,مطعم ع الصاج,,29.5397456,30.9792021,,2,,['Restaurant'],,,,,,"GXQH+VMW مطعم ع الصاج, Fanous, Tamiya, Faiyum Governorate 2972665",,EG,,restaurants
0x14599f3a3857e58d:0xc4d7abc2b5af6398,The Kingdom,,29.4749583,30.9562719,,2,,['Chicken restaurant'],,3 Photos,011 48359087,,,"FXF4+XGJ The Kingdom, Madinet Tameyah, Tamiya, Faiyum Governorate 2970283",,EG,,restaurants
0x145840cdc805fb67:0x4d7be0ca74c508d5,The Blue Restaurant & Grill,https://www.kempinski.com,30.0386822,31.230666,$$,123,Moderately expensive,['Grill'],"{'Saturday': '6:30–11\u202fAM', 'Sunday': '6:30–11\u202fAM', 'Monday': '6:30–11\u202fAM', 'Tuesday': '6:30–11\u202fAM', 'Wednesday': '6:30–11\u202fAM', 'Thursday': '6:30–11\u202fAM', 'Friday': '6:30–11\u202fAM'}",127+ Photos,02 27980000,,,"The Blue Restaurant & Grill, 12 Ahmed Ragheb, Qasr El Nil, Cairo Governorate 11519",,EG,,restaurants
0x14583e0e3b267ee3:0x4b7ea6c1067ccbcd,Windows Restaurant,https://www.citystarshotels.com,30.0741874,31.3439885,,719,,"['Buffet restaurant', 'Restaurant']","{'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours', 'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours'}",175+ Photos,02 24803000,,,"Windows Restaurant, Ali Rasheed, Masaken Al Mohandesin, Nasr City, Cairo Governorate 11766",,EG,,restaurants
0x145815c93997462b:0xc10c3656b8fcf60,Al Khal Egyptian Restaurant,https://www.menu.citystarshotels.com,30.0724124,31.3480392,$$,1983,Moderately expensive,['Restaurant'],"{'Saturday': '1\u202fPM–12\u202fAM', 'Sunday': '1\u202fPM–12\u202fAM', 'Monday': '1\u202fPM–12\u202fAM', 'Tuesday': '1\u202fPM–12\u202fAM', 'Wednesday': '1\u202fPM–12\u202fAM', 'Thursday': '1\u202fPM–12\u202fAM', 'Friday': '1\u202fPM–12\u202fAM'}",819+ Photos,02 24800009,"[['https://widget.servmeco.com/?oid=1364', 'servmeco.com', None, None, ',AOvVaw2n40l1ithre7pH0kLf6VkK,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCNUBKBQ,']]",,"Al Khal Egyptian Restaurant, Omar Ibn El-Khattab, Masaken Al Mohandesin, Heliopolis, Cairo Governorate 11737",,EG,,restaurants
0x145823485a14e78b:0xa664e357c2f92618,Shajarat Al-durr Restaurant مطعم شجرة الدر,https://www.shajarataldurr.foodics.online,30.0201234,31.4952141,,4697,,"['Egyptian restaurant', 'Grill', 'Barbecue restaurant', 'Family restaurant', 'Fine dining restaurant', 'Middle Eastern restaurant']","{'Saturday': '12\u202fPM–1\u202fAM', 'Sunday': '12\u202fPM–1\u202fAM', 'Monday': '12\u202fPM–1\u202fAM', 'Tuesday': '12\u202fPM–1\u202fAM', 'Wednesday': '12\u202fPM–1\u202fAM', 'Thursday': '12\u202fPM–1\u202fAM', 'Friday': '12\u202fPM–1\u202fAM'}",2062+ Photos,02 24359140,,,"Shajarat Al-durr Restaurant مطعم شجرة الدر, Point 90 Mall, New Cairo 3, Cairo Governorate 11835",,EG,,restaurants
0x14583e0e3b267ee3:0xe830322369c72022,Indira Indian Restaurant,https://www.urldefense.com,30.0738002,31.3441754,,989,,"['Indian restaurant', 'Restaurant']","{'Saturday': '1\u202fPM–12\u202fAM', 'Sunday': '1\u202fPM–12\u202fAM', 'Monday': '1\u202fPM–12\u202fAM', 'Tuesday': '1\u202fPM–12\u202fAM', 'Wednesday': '1\u202fPM–12\u202fAM', 'Thursday': '1\u202fPM–12\u202fAM', 'Friday': '1\u202fPM–12\u202fAM'}",506+ Photos,010 22221260,"[['https://bit.ly/2Lc00eV', 'bit.ly', None, None, ',AOvVaw2W3QgZAdYAx6evEOuIW4sv,,0ahUKEwj5ktO6udOMAxVD8MkDHW5kFfMQ2ZABCK4CKBQ,']]",,"Indira Indian Restaurant, علي راشد، Masaken Al Mohandesin, Heliopolis, Cairo Governorate 4451620",,EG,,restaurants
0x145840cdc7e28511:0x9f649c9eb3c03a92,Osmanly Restaurant,https://www.kempinski.com,30.0386357,31.230671,,660,,"['Turkish restaurant', 'Restaurant']","{'Saturday': '1\u202fPM–12\u202fAM', 'Sunday': '1\u202fPM–12\u202fAM', 'Monday': '1\u202fPM–12\u202fAM', 'Tuesday': '1\u202fPM–12\u202fAM', 'Wednesday': '1\u202fPM–12\u202fAM', 'Thursday': '1\u202fPM–12\u202fAM', 'Friday': '1\u202fPM–12\u202fAM'}",479+ Photos,02 27980000,,,"Osmanly Restaurant, 12 Ahmed Ragheb, street, Cairo Governorate 11519",,EG,,restaurants
0x1459741aef6a6cc1:0xc1291d9e59d36148,مطعم و كافيتريا البارون,,29.4824951,30.8173386,$$,354,Moderately expensive,['Izakaya restaurant'],"{'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours', 'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours', 'Friday': 'Open 24 hours'}",260+ Photos,010 00161837,,,"مطعم و كافيتريا البارون, Monshaat Sanoras, Sinnuris, Faiyum Governorate 2956386",,EG,,restaurants
